TotalReturn,MinReturn,Time,Entropy,LossAfter,StdReturn,Perplexity,MeanKL,MaxKL,Iteration,ValueLoss,AverageReturn,LossBefore,NofTrajectories,ItrTime,MaxReturn
141.98,8.32,13.152637720108032,1.30802,7.47837,4.45046556553,3.69884,0.461575,2.76384,0,14.6884,17.7475,7.5137,2048,13.152642011642456,22.44
110.89,4.01,27.70720648765564,1.29884,5.61222,5.77860371868,3.66503,0.55175,2.3548,1,10.6514,13.86125,5.63398,2048,14.547515392303467,21.91
165.08,6.56,40.05274772644043,1.30382,7.3467,13.6439409629,3.68334,0.400711,1.99129,2,24.2244,20.635,7.38596,2048,12.33852744102478,42.47
175.74,6.92,50.92354130744934,1.32003,7.48991,13.0652666926,3.74353,0.416314,2.72872,3,26.9089,21.9675,7.52942,2048,10.863855123519897,46.36
217.09,11.62,61.97889494895935,1.29836,11.9003,12.5271374798,3.66329,0.414336,2.11686,4,44.3272,27.13625,11.9422,2048,11.048327207565308,47.47
119.94,6.85,73.67890620231628,1.32081,6.51212,6.59330294693,3.74647,0.471643,1.96968,5,14.0791,14.9925,6.56132,2048,11.692912817001343,26.95
128.8,1.01,84.85472559928894,1.30239,7.67165,8.3621453587,3.67808,0.47773,2.56014,6,15.9885,16.1,7.71876,2048,11.168302059173584,28.15
205.37,16.26,97.69884324073792,1.30724,11.1072,10.8580769908,3.69595,0.423841,2.27376,7,33.9842,25.67125,11.1449,2048,12.837154150009155,46.96
208.5,11.94,108.97905611991882,1.30002,10.8627,9.43553224519,3.66937,0.42258,1.76485,8,33.9385,26.0625,10.8989,2048,11.273147344589233,42.19
184.97,8.65,119.95124197006226,1.29987,10.7845,13.635786957,3.66883,0.561527,2.8151,9,25.0458,23.12125,10.847,2048,10.965189456939697,52.02
204.46,2.34,131.09380221366882,1.31611,10.757,13.7250107013,3.72887,0.38291,2.03884,10,41.9893,25.5575,10.804,2048,11.1348876953125,46.76
184.99,3.16,141.87469816207886,1.2988,8.69617,9.49671119059,3.66488,0.294524,1.59439,11,27.5787,23.12375,8.74378,2048,10.774422883987427,37.67
198.15,7.05,153.70266699790955,1.31677,10.3183,14.5197601887,3.73135,0.408627,2.3362,12,36.4155,24.76875,10.3635,2048,11.820786952972412,51.82
240.67,20.62,164.61569380760193,1.30741,10.1101,8.90287725612,3.69658,0.327843,2.44742,13,32.4977,30.08375,10.1503,2048,10.90568995475769,47.03
174.69,16.95,176.09369230270386,1.31898,9.2763,5.35604783749,3.73961,0.544706,2.96309,14,20.3292,21.83625,9.31709,2048,11.469769716262817,32.64
172.17,6.93,186.87508535385132,1.31246,7.00326,11.968514358,3.7153,0.441074,2.27003,15,14.5368,21.52125,7.03429,2048,10.774355411529541,37.74
207.45,21.4,198.6291811466217,1.3277,9.39449,3.05823248585,3.77235,0.480142,2.52939,16,23.4689,25.93125,9.43627,2048,11.747239112854004,31.76
123.24,2.25,210.11742901802063,1.32041,5.41884,10.3975069127,3.74497,0.603815,2.95324,17,14.1077,15.405,5.44759,2048,11.481390953063965,31.9
